Name	Lon	Lat	Depth
ARNO	-6.7322	37.0988	117.0
AVE	-7.4133	33.2981	230.0
CART	-1.0012	37.5868	65.0
CEU	-5.3731	35.8987	320.0
CHAS	-2.4304	35.1837	110.0
EADA	-4.5771	38.1673	565.0
EALB	-3.0343	35.9399	20.0
EBAD	-7.0133	38.7556	221.0
EBER	-2.8896	36.8979	1690.0
ECAB	-5.4186	38.0753	520.0
ECAL	-6.7371	41.9413	950.0
ECEU	-5.3768	35.8978	278.0
ECHE	-0.9677	39.5908	643.0
EGOR	-4.1096	37.1101	1378.0
EGRO	-7.4831	37.5342	130.0
EIBI	1.3436	39.0269	260.0
EJON	2.8886	42.4487	570.0
ELGU	-3.6266	36.8678	847.0
EMAL	-4.4292	36.762	80.0
EMIJ	-4.7727	36.5645	470.0
EMIN	-6.6724	37.7675	240.0
EMIR	1.5258	41.9144	841.0
EMLI	-2.95	35.3	0.0
EMUR	-1.2405	37.8422	574.0
ENIJ	-2.207	36.9715	440.0
EOSO	-15.5525	28.0718	760.0
EQTA	-3.4399	37.205	1100.0
ESPR	-5.8562	36.8686	135.0
ETOB	-1.5478	38.6447	855.0
ETOS	2.8144	39.7678	480.0
ETRV	-0.7627	38.0203	39.0
EVO	-8.01674	38.5294	232.0
IFR	-5.1272	33.5166	1630.0
MAHO	4.2665	39.8959	15.0
OBS01	-10.373257	35.908078	-4849.9
OBS02	-10.55335	35.5946	-4717.4
OBS03	-10.9891	35.59585	-4842.0
OBS05	-10.98875	36.2224	-4683.6
OBS06	-10.55565	36.22425	-4843.0
PBAR	-7.039	38.1745	205.0
PBDV	-7.931169	37.243	471.0
PCVE	-8.038999	37.632832	225.0
PESTR	-7.590169	38.867168	410.0
PFVI	-8.826829	37.132832	189.0
PMAFR	-9.28267	38.95533	329.0
PMOZ	-17.19717	32.823002	1027.0
PNCL	-8.529	38.111832	120.0
PVAQ	-7.717329	37.403671	200.0
PVLZ	-4.301	35.173	90.0
SFS	-6.2055	36.4656	21.0
TIO	-7.2453	30.9237	0.0
TLOR	-1.6889	37.6559	314.0
UCM	-3.2441	40.3075	819.0
WAIT	-2.4304	35.1837	110.0
WMELI	-2.9518	35.3547	5.0
