   H(KM)   VP(KM/S)   VS(KM/S) RHO(GM/CC)
5.0000      1.5000     0.0000     1.0260
20.0000     5.8000     3.4600     2.7200
15.0000     6.5000     3.8500     2.9200
42.5000     8.0425     4.4850     3.3326
42.5000     8.0475     4.4950     3.3584
45.0000     8.1123     4.5045     3.3990
45.0000     8.2374     4.5137     3.3477
50.0000     8.3905     4.5634     3.3453
50.0000     8.5726     4.6525     3.3886
50.0000     8.7553     4.7394     3.4344
50.0000     8.9380     4.8263     3.4822
50.0000     9.4433     5.1330     3.9295
50.0000     9.6114     5.2388     3.9253
50.0000     9.7794     5.3450     3.9225
50.0000     9.9473     5.4513     3.9212
50.0000    10.1153     5.5570     3.9204
50.0000    10.8562     6.0246     4.2687
50.0000    10.9883     6.1493     4.3275
49.5000    11.0953     6.2262     4.3842
49.5000    11.1790     6.2611     4.4384
49.5000    11.2646     6.2981     4.4906
49.5000    11.3481     6.3341     4.5408
49.5000    11.4299     6.3689     4.5790
49.5000    11.5097     6.4021     4.6062
49.5000    11.5878     6.4348     4.6333
49.5000    11.6641     6.4668     4.6601
49.5000    11.7393     6.4976     4.6868
49.5000    11.8128     6.5281     4.7134
49.5000    11.8848     6.5579     4.7397
49.5000    11.9549     6.5868     4.7659
49.5000    12.0230     6.6147     4.7920
49.5000    12.0908     6.6419     4.8179
49.5000    12.1579     6.6683     4.8435
49.5000    12.2234     6.6941     4.8689
49.5000    12.2869     6.7196     4.8943
49.5000    12.3496     6.7451     4.9195
49.5000    12.4119     6.7699     4.9445
49.5000    12.4728     6.7938     4.9693
49.5000    12.5333     6.8172     4.9939
49.5000    12.5931     6.8403     5.0184
49.5000    12.6516     6.8630     5.0427
49.5000    12.7095     6.8857     5.0668
49.5000    12.7669     6.9083     5.0908
49.5000    12.8239     6.9305     5.1146
49.5000    12.8808     6.9520     5.1382
49.5000    12.9377     6.9738     5.1616
49.5000    12.9944     6.9960     5.1848
49.5000    13.0505     7.0177     5.2078
49.5000    13.1061     7.0395     5.2306
49.5000    13.1615     7.0613     5.2533
49.5000    13.2179     7.0827     5.2758
49.5000    13.2740     7.1038     5.2981
49.5000    13.3300     7.1256     5.3202
49.5000    13.3869     7.1476     5.3422
49.5000    13.4448     7.1694     5.3639
48.5000    13.5025     7.1917     5.3855
50.0000    13.5604     7.2142     5.4069
50.0000    13.6198     7.2369     5.4282
49.6699    13.6516     7.2539     5.7065
49.6602    13.6552     7.2646     5.7327
52.1699    13.6585     7.2758     5.7590
