period,phase_velocity_rayleigh,phase_velocity_love,group_velocity_rayleigh,group_velocity_love
1.0,1.0838,1.5893,0.73607,0.70648
1.1,1.1485,1.8217,0.73508,0.69326
1.2,1.2006,2.1188,0.8225,0.75897
1.3,1.2411,2.4242,0.90528,0.97211
1.4,1.2723,2.6615,0.97749,1.3236
1.5,1.2967,2.8176,1.0383,1.7069
1.6,1.316,2.9173,1.0889,2.0354
1.7,1.3315,2.9831,1.1309,2.2849
1.8,1.3442,3.0289,1.1657,2.4649
1.9,1.3547,3.0627,1.1948,2.593
2.0,1.3635,3.0889,1.219,2.6848
2.1,1.3711,3.1102,1.2392,2.7515
2.2,1.3776,3.1282,1.2561,2.8009
2.3,1.3834,3.1439,1.2702,2.8381
2.4,1.3885,3.158,1.2819,2.8667
2.5,1.3931,3.1709,1.2917,2.8891
2.6,1.3974,3.1829,1.2998,2.9067
2.7,1.4013,3.1943,1.3065,2.9209
2.8,1.405,3.2052,1.3121,2.9324
2.9,1.4085,3.2157,1.3166,2.9419
3.0,1.4118,3.2259,1.3203,2.9498
3.2,1.4182,3.2458,1.3255,2.9622
3.4,1.4243,3.265,1.3285,2.9714
3.6,1.4304,3.2839,1.3297,2.9786
3.8,1.4365,3.3026,1.3296,2.9845
4.0,1.4426,3.3211,1.3284,2.9896
4.2,1.4489,3.3395,1.3262,2.9943
4.4,1.4555,3.3579,1.3233,2.9986
4.6,1.4622,3.3762,1.3197,3.0028
4.8,1.4692,3.3945,1.3155,3.007
5.0,1.4766,3.4128,1.3108,3.0111
5.5,1.4964,3.4585,1.2968,3.0219
6.0,1.5186,3.504,1.28,3.0336
6.5,1.5437,3.5493,1.2608,3.0467
7.0,1.5721,3.5943,1.2393,3.0615
7.5,1.6043,3.639,1.2154,3.0785
8.0,1.6408,3.6829,1.1894,3.0981
8.5,1.6824,3.7261,1.1612,3.1205
9.0,1.73,3.7683,1.1309,3.1459
9.5,1.7846,3.8092,1.0988,3.1744
10.0,1.8477,3.8487,1.065,3.2059
11.0,2.0067,3.9229,0.99428,3.2767
12.0,2.2274,3.9898,0.92627,3.3557
13.0,2.5375,4.0492,0.88702,3.439
14.0,2.9422,4.1012,0.97199,3.5228
15.0,3.325,4.1463,1.3824,3.6039
16.0,3.5598,4.1852,2.0315,3.6803
17.0,3.6863,4.2188,2.5784,3.7506
18.0,3.7603,4.2477,2.9461,3.8144
19.0,3.8081,4.2728,3.1864,3.8716
20.0,3.8416,4.2945,3.3481,3.9228
21.0,3.8664,4.3134,3.4615,3.9683
22.0,3.8855,4.33,3.5442,4.0087
23.0,3.9008,4.3447,3.6064,4.0446
24.0,3.9133,4.3577,3.6546,4.0765
25.0,3.9237,4.3692,3.6929,4.105
26.0,3.9326,4.3796,3.7238,4.1304
27.0,3.9403,4.389,3.7493,4.1532
28.0,3.947,4.3975,3.7705,4.1736
29.0,3.9529,4.4053,3.7886,4.192
30.0,3.9582,4.4124,3.804,4.2086
32.0,3.9673,4.4252,3.8291,4.2373
34.0,3.9748,4.4362,3.8486,4.2611
36.0,3.9813,4.4461,3.8642,4.2811
38.0,3.9869,4.4549,3.877,4.2979
40.0,3.9919,4.463,3.8876,4.3123
42.0,3.9965,4.4706,3.8965,4.3247
44.0,4.0007,4.4776,3.9041,4.3354
46.0,4.0047,4.4843,3.9106,4.3448
48.0,4.0084,4.4907,3.9161,4.353
50.0,4.0121,4.4968,3.9208,4.3603
55.0,4.0208,4.5113,3.9296,4.3753
60.0,4.0295,4.525,3.9349,4.3869
65.0,4.0384,4.5381,3.9375,4.3963
70.0,4.0476,4.5509,3.9379,4.4041
75.0,4.0573,4.5633,3.9366,4.4109
80.0,4.0676,4.5756,3.934,4.417
85.0,4.0785,4.5877,3.9306,4.4226
90.0,4.0898,4.5997,3.9267,4.428
95.0,4.1018,4.6115,3.9226,4.4333
100.0,4.1142,4.6232,3.9188,4.4386
110.0,4.1403,4.6461,3.9126,4.4494
120.0,4.1678,4.6684,3.9099,4.4609
130.0,4.1959,4.6901,3.9118,4.4733
140.0,4.2243,4.7111,3.9189,4.4866
150.0,4.2525,4.7313,3.9312,4.5009
