period,phase_velocity_rayleigh,phase_velocity_love,group_velocity_rayleigh,group_velocity_love
1.0,1.0837,1.5888,0.65697,0.70626
1.1,1.1483,1.8211,0.73475,0.69304
1.2,1.2005,2.1181,0.82239,0.75873
1.3,1.2409,2.4234,0.90514,0.97181
1.4,1.2722,2.6606,0.97713,1.3232
1.5,1.2966,2.8167,1.0374,1.7064
1.6,1.316,2.9164,1.0866,2.0348
1.7,1.3319,2.9821,1.1264,2.2842
1.8,1.345,3.028,1.1582,2.4641
1.9,1.3563,3.0617,1.1835,2.5922
2.0,1.3661,3.0879,1.2034,2.6839
2.1,1.375,3.1092,1.219,2.7506
2.2,1.3831,3.1272,1.2312,2.8
2.3,1.3906,3.1429,1.2405,2.8373
2.4,1.3978,3.157,1.2476,2.8658
2.5,1.4048,3.1699,1.2528,2.8881
2.6,1.4115,3.1819,1.2564,2.9058
2.7,1.4182,3.1933,1.2587,2.92
2.8,1.4249,3.2042,1.26,2.9315
2.9,1.4316,3.2147,1.2602,2.941
3.0,1.4384,3.2249,1.2597,2.9489
3.2,1.4523,3.2447,1.2566,2.9612
3.4,1.4668,3.264,1.2512,2.9704
3.6,1.4822,3.2829,1.2439,2.9776
3.8,1.4985,3.3015,1.2351,2.9836
4.0,1.5159,3.32,1.225,2.9887
4.2,1.5345,3.3385,1.2138,2.9933
4.4,1.5546,3.3568,1.2015,2.9977
4.6,1.5761,3.3752,1.1882,3.0019
4.8,1.5994,3.3935,1.1742,3.006
5.0,1.6245,3.4117,1.1593,3.0102
5.5,1.6966,3.4574,1.1194,3.0209
6.0,1.7849,3.5029,1.0766,3.0326
6.5,1.894,3.5482,1.0333,3.0457
7.0,2.0296,3.5932,0.99375,3.0605
7.5,2.198,3.6378,0.96751,3.0776
8.0,2.402,3.6818,0.97302,3.0971
8.5,2.6335,3.7249,1.039,3.1195
9.0,2.8676,3.7671,1.1897,3.1449
9.5,3.0763,3.808,1.4184,3.1734
10.0,3.2462,3.8475,1.6891,3.2048
11.0,3.4817,3.9217,2.2212,3.2757
12.0,3.6249,3.9886,2.6471,3.3547
13.0,3.7162,4.0479,2.9583,3.4379
14.0,3.7777,4.0999,3.1812,3.5217
15.0,3.8212,4.145,3.342,3.6028
16.0,3.8532,4.1839,3.4601,3.6791
17.0,3.8775,4.2174,3.5485,3.7494
18.0,3.8966,4.2464,3.616,3.8132
19.0,3.9119,4.2714,3.6685,3.8704
20.0,3.9244,4.2931,3.7101,3.9216
21.0,3.9348,4.3121,3.7434,3.967
22.0,3.9436,4.3287,3.7706,4.0074
23.0,3.9512,4.3433,3.793,4.0433
24.0,3.9577,4.3563,3.8118,4.0753
25.0,3.9635,4.3679,3.8276,4.1037
26.0,3.9686,4.3783,3.8411,4.1291
27.0,3.9731,4.3876,3.8527,4.1519
28.0,3.9772,4.3961,3.8628,4.1723
29.0,3.9809,4.4039,3.8717,4.1907
30.0,3.9843,4.4111,3.8796,4.2073
32.0,3.9903,4.4238,3.8928,4.236
34.0,3.9954,4.4348,3.9036,4.2598
36.0,4.0,4.4447,3.9125,4.2797
38.0,4.004,4.4535,3.9201,4.2966
40.0,4.0078,4.4616,3.9265,4.311
42.0,4.0112,4.4691,3.932,4.3233
44.0,4.0145,4.4762,3.9367,4.334
46.0,4.0177,4.4829,3.9407,4.3434
48.0,4.0208,4.4892,3.9442,4.3516
50.0,4.0238,4.4954,3.9471,4.3589
55.0,4.0313,4.5099,3.9522,4.3739
60.0,4.039,4.5235,3.9548,4.3856
65.0,4.0471,4.5367,3.9553,4.3949
70.0,4.0557,4.5494,3.9539,4.4028
75.0,4.0649,4.5619,3.9512,4.4095
80.0,4.0747,4.5742,3.9475,4.4156
85.0,4.0852,4.5863,3.9431,4.4212
90.0,4.0962,4.5982,3.9384,4.4266
95.0,4.1079,4.61,3.9337,4.4319
100.0,4.12,4.6217,3.9292,4.4372
110.0,4.1457,4.6446,3.9221,4.448
120.0,4.1727,4.6669,3.9187,4.4595
130.0,4.2005,4.6886,3.9201,4.4719
140.0,4.2286,4.7095,3.9269,4.4852
150.0,4.2564,4.7298,3.9388,4.4994
