period,phase_velocity_rayleigh,phase_velocity_love,group_velocity_rayleigh,group_velocity_love
1.0,2.1204,3.2726,1.155,3.085
1.1,2.2901,3.2946,1.289,3.044
1.2,2.4391,3.3219,1.4651,2.9918
1.3,2.5588,3.3556,1.6706,2.9325
1.4,2.6505,3.396,1.8648,2.8755
1.5,2.7212,3.4427,2.0238,2.8315
1.6,2.7779,3.4943,2.1434,2.8072
1.7,2.8257,3.5489,2.2276,2.8035
1.8,2.8683,3.6047,2.2811,2.8183
1.9,2.9086,3.6601,2.3075,2.8493
2.0,2.9488,3.714,2.3088,2.8939
2.1,2.991,3.7652,2.2854,2.9486
2.2,3.0375,3.8133,2.2366,3.0092
2.3,3.0907,3.858,2.1617,3.0707
2.4,3.1539,3.8995,2.0613,3.1292
2.5,3.2311,3.9382,1.9407,3.1822
2.6,3.3268,3.9746,1.8151,3.2287
2.7,3.444,4.0091,1.7209,3.2687
2.8,3.5781,4.042,1.7275,3.3031
2.9,3.7093,4.0738,1.9133,3.3331
3.0,3.815,4.1046,2.2388,3.3597
3.2,3.9513,4.1638,2.7779,3.4077
3.4,4.0411,4.2202,3.0365,3.4554
3.6,4.1136,4.2736,3.1821,3.5095
3.8,4.1763,4.3233,3.2989,3.5752
4.0,4.2309,4.3685,3.4139,3.6558
4.2,4.2779,4.4082,3.5303,3.7523
4.4,4.3177,4.4418,3.6426,3.8625
4.6,4.3512,4.4689,3.7444,3.9807
4.8,4.3796,4.4896,3.8325,4.0974
5.0,4.4038,4.5048,3.9066,4.201
5.5,4.4517,4.5262,4.0436,4.3651
6.0,4.4873,4.536,4.1426,4.431
6.5,4.5134,4.542,4.2298,4.4586
7.0,4.5311,4.5464,4.3086,4.4722
7.5,4.5424,4.5501,4.3699,4.4799
8.0,4.5499,4.5534,4.4118,4.4847
8.5,4.5555,4.5565,4.4391,4.488
9.0,4.5601,4.5596,4.4571,4.4903
9.5,4.5643,4.5627,4.4695,4.492
10.0,4.5682,4.5658,4.4783,4.4932
11.0,4.5759,4.5721,4.4897,4.4948
12.0,4.5836,4.5789,4.4961,4.4953
13.0,4.5916,4.5861,4.4997,4.495
14.0,4.5999,4.5939,4.5015,4.4941
15.0,4.6085,4.6022,4.502,4.4926
16.0,4.6175,4.6111,4.5015,4.4907
17.0,4.6268,4.6205,4.5004,4.4885
18.0,4.6365,4.6304,4.4987,4.4861
19.0,4.6465,4.6408,4.4966,4.4835
20.0,4.6568,4.6516,4.4941,4.4809
21.0,4.6675,4.6628,4.4915,4.4782
22.0,4.6784,4.6744,4.4887,4.4757
23.0,4.6896,4.6864,4.4858,4.4732
24.0,4.7011,4.6986,4.483,4.4709
25.0,4.7129,4.711,4.4801,4.4688
26.0,4.7248,4.7237,4.4773,4.4669
27.0,4.737,4.7366,4.4747,4.4652
28.0,4.7494,4.7497,4.4722,4.4638
29.0,4.762,4.7629,4.47,4.4626
30.0,4.7747,4.7763,4.4681,4.4617
32.0,4.8005,4.8033,4.4655,4.4607
34.0,4.8268,4.8306,4.465,4.4611
36.0,4.8534,4.8582,4.467,4.4631
38.0,4.88,4.8857,4.4722,4.4669
40.0,4.9065,4.9133,4.4812,4.4729
42.0,4.9327,4.9406,4.4943,4.4815
44.0,4.9583,4.9676,4.512,4.4932
46.0,4.9831,4.9941,4.5344,4.5084
48.0,5.0069,5.02,4.5616,4.528
50.0,5.0295,5.0449,4.5933,4.5525
55.0,5.08,5.1021,4.6893,4.6416
60.0,5.1205,5.1482,4.8021,4.7876
65.0,5.1506,5.1778,4.9234,5.0307
70.0,5.1708,,5.0497,
75.0,5.1816,,5.1829,
