period,phase_velocity_rayleigh,phase_velocity_love,group_velocity_rayleigh,group_velocity_love
1.0,1.0838,1.5883,0.65487,0.70604
1.1,1.1498,1.8205,0.72618,0.69282
1.2,1.2054,2.1175,0.79954,0.75849
1.3,1.2526,2.4227,0.86033,0.9715
1.4,1.2942,2.6598,0.90509,1.3228
1.5,1.3328,2.8158,0.93538,1.7058
1.6,1.3703,2.9154,0.95397,2.0341
1.7,1.408,2.9812,0.96344,2.2834
1.8,1.4471,3.027,0.96588,2.4633
1.9,1.4884,3.0608,0.96295,2.5914
2.0,1.5329,3.087,0.95599,2.6831
2.1,1.5812,3.1083,0.9462,2.7498
2.2,1.6342,3.1262,0.93477,2.7991
2.3,1.6926,3.1419,0.92306,2.8364
2.4,1.7572,3.156,0.91281,2.8649
2.5,1.8282,3.1689,0.90636,2.8872
2.6,1.9059,3.1809,0.90698,2.9049
2.7,1.9895,3.1923,0.91903,2.9191
2.8,2.077,3.2032,0.94777,2.9306
2.9,2.1654,3.2137,0.99816,2.9401
3.0,2.2509,3.2239,1.0726,2.948
3.2,2.4007,3.2437,1.2796,2.9603
3.4,2.5158,3.2629,1.5082,2.9695
3.6,2.603,3.2818,1.7047,2.9767
3.8,2.6719,3.3005,1.8542,2.9826
4.0,2.7295,3.319,1.963,2.9877
4.2,2.7801,3.3374,2.0423,2.9924
4.4,2.8262,3.3558,2.1014,2.9967
4.6,2.8694,3.3741,2.1473,3.0009
4.8,2.9106,3.3924,2.1848,3.0051
5.0,2.9503,3.4107,2.217,3.0092
5.5,3.0452,3.4563,2.2861,3.02
6.0,3.1351,3.5018,2.3491,3.0317
6.5,3.2206,3.5471,2.4112,3.0447
7.0,3.3018,3.5921,2.4752,3.0596
7.5,3.3784,3.6367,2.5437,3.0766
8.0,3.4499,3.6806,2.619,3.0962
8.5,3.5154,3.7238,2.7019,3.1186
9.0,3.5747,3.7659,2.7913,3.144
9.5,3.6273,3.8068,2.8848,3.1724
10.0,3.6735,3.8463,2.9791,3.2038
11.0,3.7482,3.9204,3.1583,3.2747
12.0,3.8035,3.9873,3.3128,3.3536
13.0,3.8445,4.0467,3.4384,3.4368
14.0,3.8753,4.0986,3.5375,3.5206
15.0,3.8989,4.1437,3.6151,3.6016
16.0,3.9173,4.1826,3.6758,3.6779
17.0,3.9319,4.2161,3.7236,3.7482
18.0,3.9438,4.245,3.7617,3.812
19.0,3.9535,4.2701,3.7922,3.8692
20.0,3.9617,4.2918,3.8169,3.9203
21.0,3.9687,4.3107,3.8372,3.9658
22.0,3.9746,4.3273,3.8539,4.0062
23.0,3.9798,4.3419,3.8679,4.0421
24.0,3.9844,4.3549,3.8797,4.074
25.0,3.9884,4.3665,3.8898,4.1024
26.0,3.992,4.3769,3.8985,4.1278
27.0,3.9952,4.3862,3.906,4.1506
28.0,3.9982,4.3948,3.9125,4.171
29.0,4.0009,4.4025,3.9183,4.1894
30.0,4.0033,4.4097,3.9235,4.206
32.0,4.0077,4.4224,3.9322,4.2347
34.0,4.0116,4.4334,3.9394,4.2585
36.0,4.015,4.4432,3.9454,4.2784
38.0,4.0181,4.4521,3.9505,4.2952
40.0,4.0211,4.4602,3.9548,4.3096
42.0,4.0238,4.4677,3.9585,4.322
44.0,4.0265,4.4748,3.9617,4.3327
46.0,4.0291,4.4814,3.9643,4.342
48.0,4.0316,4.4878,3.9665,4.3503
50.0,4.0342,4.4939,3.9683,4.3576
55.0,4.0408,4.5084,3.9712,4.3725
60.0,4.0477,4.5221,3.9719,4.3842
65.0,4.0552,4.5352,3.9708,4.3935
70.0,4.0633,4.548,3.9682,4.4014
75.0,4.072,4.5604,3.9645,4.4081
80.0,4.0815,4.5727,3.9598,4.4142
85.0,4.0916,4.5848,3.9547,4.4198
90.0,4.1024,4.5967,3.9493,4.4252
95.0,4.1137,4.6085,3.944,4.4305
100.0,4.1257,4.6202,3.9391,4.4358
110.0,4.1509,4.6431,3.9312,4.4466
120.0,4.1776,4.6654,3.9272,4.4581
130.0,4.205,4.6871,3.9282,4.4704
140.0,4.2328,4.708,3.9346,4.4838
150.0,4.2603,4.7283,3.9462,4.498
