period,phase_velocity_rayleigh,phase_velocity_love,group_velocity_rayleigh,group_velocity_love
1.0,3.1425,3.2721,1.6231,3.0846
1.1,3.3333,3.2941,2.6703,3.0435
1.2,3.3896,3.3214,2.8773,2.9913
1.3,3.4403,3.3551,2.876,2.9321
1.4,3.4935,3.3955,2.8676,2.875
1.5,3.5484,3.4422,2.8791,2.8311
1.6,3.6023,3.4937,2.9206,2.8068
1.7,3.6526,3.5483,2.9898,2.803
1.8,3.6972,3.6041,3.0728,2.8179
1.9,3.7362,3.6596,3.153,2.8488
2.0,3.7704,3.7134,3.2199,2.8934
2.1,3.8011,3.7646,3.2704,2.9482
2.2,3.8295,3.8127,3.3059,3.0087
2.3,3.8565,3.8574,3.3291,3.0702
2.4,3.8827,3.8989,3.343,3.1287
2.5,3.9088,3.9376,3.3501,3.1817
2.6,3.935,3.974,3.3524,3.2282
2.7,3.9614,4.0084,3.352,3.2682
2.8,3.9883,4.0414,3.3503,3.3026
2.9,4.0156,4.0732,3.3489,3.3325
3.0,4.0434,4.1039,3.3492,3.3592
3.2,4.0996,4.1631,3.3604,3.4071
3.4,4.1554,4.2195,3.3931,3.4549
3.6,4.2087,4.2729,3.452,3.509
3.8,4.2574,4.3226,3.5343,3.5747
4.0,4.3002,4.3678,3.6309,3.6552
4.2,4.3368,4.4075,3.7296,3.7517
4.4,4.3678,4.4411,3.8212,3.8619
4.6,4.3941,4.4682,3.9011,3.9801
4.8,4.4166,4.4889,3.9685,4.0968
5.0,4.436,4.5041,4.0248,4.2003
5.5,4.4751,4.5254,4.133,4.3645
6.0,4.5039,4.5353,4.2196,4.4303
6.5,4.5241,4.5412,4.2973,4.4579
7.0,4.5371,4.5456,4.3607,4.4715
7.5,4.5456,4.5493,4.4054,4.4792
8.0,4.5516,4.5527,4.4348,4.484
8.5,4.5564,4.5558,4.4541,4.4873
9.0,4.5606,4.5589,4.4673,4.4896
9.5,4.5646,4.5619,4.4767,4.4913
10.0,4.5684,4.565,4.4836,4.4925
11.0,4.5759,4.5714,4.4926,4.494
12.0,4.5835,4.5781,4.4979,4.4946
13.0,4.5914,4.5854,4.5009,4.4943
14.0,4.5997,4.5932,4.5022,4.4934
15.0,4.6083,4.6015,4.5024,4.4919
16.0,4.6173,4.6104,4.5018,4.49
17.0,4.6266,4.6198,4.5005,4.4878
18.0,4.6363,4.6297,4.4987,4.4854
19.0,4.6463,4.64,4.4965,4.4828
20.0,4.6567,4.6509,4.494,4.4801
21.0,4.6673,4.6621,4.4913,4.4775
22.0,4.6783,4.6737,4.4885,4.475
23.0,4.6895,4.6856,4.4856,4.4725
24.0,4.701,4.6978,4.4827,4.4702
25.0,4.7127,4.7103,4.4798,4.4681
26.0,4.7247,4.723,4.477,4.4662
27.0,4.7369,4.7359,4.4744,4.4645
28.0,4.7493,4.7489,4.4719,4.4631
29.0,4.7619,4.7622,4.4697,4.4619
30.0,4.7746,4.7755,4.4679,4.461
32.0,4.8005,4.8025,4.4653,4.46
34.0,4.8268,4.8299,4.4648,4.4604
36.0,4.8533,4.8574,4.4669,4.4623
38.0,4.8799,4.885,4.4722,4.4661
40.0,4.9064,4.9125,4.4812,4.4722
42.0,4.9326,4.9398,4.4944,4.4808
44.0,4.9582,4.9668,4.5122,4.4924
46.0,4.9829,4.9933,4.5348,4.5077
48.0,5.0067,5.0191,4.562,4.5273
50.0,5.0294,5.0441,4.5938,4.5518
55.0,5.0797,5.1013,4.6901,4.6409
60.0,5.1201,5.1474,4.803,4.7869
65.0,5.1502,5.177,4.9244,5.03
70.0,5.1702,,5.0507,
75.0,5.1808,,5.1842,
