period,phase_velocity_rayleigh,phase_velocity_love,group_velocity_rayleigh,group_velocity_love
1.0,2.1247,1.5881,1.2251,0.70593
1.1,2.2731,1.8202,1.3548,0.69271
1.2,2.4,2.1172,1.5341,0.75838
1.3,2.4983,2.4223,1.7363,0.97135
1.4,2.571,2.6594,1.9223,1.3226
1.5,2.6247,2.8154,2.0755,1.7056
1.6,2.6655,2.915,2.1963,2.0338
1.7,2.6972,2.9807,2.2905,2.2831
1.8,2.7227,3.0266,2.364,2.4629
1.9,2.7438,3.0603,2.4215,2.591
2.0,2.7616,3.0865,2.4667,2.6827
2.1,2.7771,3.1078,2.5021,2.7493
2.2,2.7909,3.1257,2.5297,2.7987
2.3,2.8035,3.1414,2.551,2.8359
2.4,2.8152,3.1555,2.5671,2.8645
2.5,2.8263,3.1684,2.5789,2.8868
2.6,2.837,3.1804,2.5872,2.9044
2.7,2.8475,3.1918,2.5925,2.9186
2.8,2.8579,3.2027,2.5954,2.9301
2.9,2.8682,3.2132,2.5962,2.9396
3.0,2.8786,3.2234,2.5955,2.9475
3.2,2.8999,3.2432,2.5903,2.9598
3.4,2.9221,3.2624,2.582,2.969
3.6,2.9453,3.2813,2.5725,2.9762
3.8,2.9696,3.3,2.563,2.9821
4.0,2.995,3.3185,2.5548,2.9873
4.2,3.0213,3.3369,2.5485,2.9919
4.4,3.0484,3.3553,2.5446,2.9963
4.6,3.0762,3.3736,2.5433,3.0005
4.8,3.1045,3.3919,2.5447,3.0046
5.0,3.1332,3.4101,2.5486,3.0088
5.5,3.2056,3.4557,2.5677,3.0195
6.0,3.2779,3.5012,2.5974,3.0312
6.5,3.3487,3.5465,2.6357,3.0443
7.0,3.4173,3.5915,2.6825,3.0591
7.5,3.4825,3.6361,2.7388,3.0761
8.0,3.5434,3.68,2.8049,3.0957
8.5,3.5992,3.7232,2.8798,3.1181
9.0,3.6494,3.7653,2.9612,3.1435
9.5,3.6939,3.8062,3.0456,3.1719
10.0,3.7327,3.8457,3.1299,3.2033
11.0,3.7954,3.9198,3.2873,3.2742
12.0,3.8418,3.9867,3.4207,3.3531
13.0,3.8763,4.046,3.5281,3.4363
14.0,3.9023,4.098,3.6127,3.52
15.0,3.9223,4.143,3.6787,3.6011
16.0,3.9379,4.1819,3.7305,3.6774
17.0,3.9504,4.2154,3.7712,3.7476
18.0,3.9606,4.2444,3.8037,3.8114
19.0,3.9689,4.2694,3.8297,3.8686
20.0,3.9759,4.2911,3.8508,3.9197
21.0,3.9819,4.31,3.868,3.9652
22.0,3.987,4.3266,3.8823,4.0056
23.0,3.9915,4.3413,3.8942,4.0414
24.0,3.9954,4.3542,3.9042,4.0733
25.0,3.9989,4.3658,3.9127,4.1018
26.0,4.002,4.3762,3.9201,4.1272
27.0,4.0048,4.3855,3.9264,4.1499
28.0,4.0073,4.3941,3.9319,4.1703
29.0,4.0096,4.4018,3.9368,4.1887
30.0,4.0117,4.409,3.9411,4.2053
32.0,4.0155,4.4217,3.9485,4.234
34.0,4.0189,4.4327,3.9545,4.2578
36.0,4.0219,4.4425,3.9595,4.2777
38.0,4.0246,4.4514,3.9637,4.2946
40.0,4.0272,4.4595,3.9673,4.3089
42.0,4.0297,4.467,3.9703,4.3213
44.0,4.0321,4.4741,3.9729,4.332
46.0,4.0345,4.4807,3.975,4.3414
48.0,4.0368,4.4871,3.9767,4.3496
50.0,4.0392,4.4932,3.9781,4.3569
55.0,4.0453,4.5077,3.98,4.3719
60.0,4.0519,4.5214,3.9799,4.3835
65.0,4.0591,4.5345,3.9782,4.3928
70.0,4.067,4.5472,3.975,4.4007
75.0,4.0755,4.5597,3.9708,4.4074
80.0,4.0848,4.572,3.9658,4.4135
85.0,4.0948,4.5841,3.9603,4.4191
90.0,4.1054,4.596,3.9546,4.4245
95.0,4.1166,4.6078,3.949,4.4298
100.0,4.1284,4.6195,3.9439,4.4351
110.0,4.1535,4.6424,3.9356,4.4459
120.0,4.1799,4.6647,3.9314,4.4574
130.0,4.2073,4.6863,3.9322,4.4697
140.0,4.2349,4.7073,3.9384,4.4831
150.0,4.2622,4.7275,3.9499,4.4973
