#net|sta|loc|chan|lat|lon|elev|depth|azimuth|dip|instrument|scale|scalefreq|scaleunits|samplerate|start|end
IM|IL01|--|SHZ|64.771599|-146.886093|418.0|0.0|0.0|-90.0|G23900=IL01=Gen=AIM24S_4.33E7=IL01|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL02|--|SHZ|64.784698|-146.864304|261.0|0.0|0.0|-90.0|G23900=IL02=Gen=AIM24S_4.33E7=IL02|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL03|--|SHZ|64.7714|-146.851196|440.0|0.0|0.0|-90.0|G23900=IL03=Gen=AIM24S_4.33E7=IL03|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL04|--|SHZ|64.757004|-146.876099|528.0|0.0|0.0|-90.0|G23900=IL04=Gen=AIM24S_4.33E7=IL04|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL05|--|SHZ|64.773102|-146.922897|389.0|0.0|0.0|-90.0|G23900=IL05=Gen=AIM24S_4.33E7=IL05|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL06|--|SHZ|64.779198|-146.904007|262.0|0.0|0.0|-90.0|G23900=IL06=Gen=AIM24S_4.33E7=IL06|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL07|--|SHZ|64.799301|-146.839294|401.0|0.0|0.0|-90.0|G23900=IL07=Gen=AIM24S_4.33E7=IL07|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL08|--|SHZ|64.790298|-146.796906|505.0|0.0|0.0|-90.0|G23900=IL08=Gen=AIM24S_4.33E7=IL08|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL09|--|SHZ|64.768097|-146.783203|494.0|0.0|0.0|-90.0|G23900=IL09=Gen=AIM24S_4.33E7=IL09|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL10|--|SHZ|64.752899|-146.843094|586.0|0.0|0.0|-90.0|G23900=IL10=Gen=AIM24S_4.33E7=IL10|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL11|--|SHZ|64.741501|-146.8974|444.0|0.0|0.0|-90.0|G23900=IL11=Gen=AIM24S_4.33E7=IL11|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL12|--|SHZ|64.744698|-146.943604|366.0|0.0|0.0|-90.0|G23900=IL12=Gen=AIM24S_4.33E7=IL12|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL13|--|SHZ|64.747902|-146.986496|367.0|0.0|0.0|-90.0|G23900=IL13=Gen=AIM24S_4.33E7=IL13|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL14|--|SHZ|64.775002|-146.979401|223.0|0.0|0.0|-90.0|G23900=IL14=Gen=AIM24S_4.33E7=IL14|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL15|--|SHZ|64.777702|-146.942795|336.0|0.0|0.0|-90.0|G23900=IL15=Gen=AIM24S_4.33E7=IL15|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL16|--|SHZ|64.793297|-146.921494|382.0|0.0|0.0|-90.0|G23900=IL16=Gen=AIM24S_4.33E7=IL16|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL17|--|SHZ|64.807198|-146.889801|357.0|0.0|0.0|-90.0|G23900=IL17=Gen=AIM24S_4.33E7=IL17|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL18|--|SHZ|64.7575|-146.776794|554.0|0.0|0.0|-90.0|G23900=IL18=Gen=AIM24S_4.33E7=IL18|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|IL19|--|SHZ|64.746101|-146.797394|549.0|0.0|0.0|-90.0|G23900=IL19=Gen=AIM24S_4.33E7=IL19|1.60990996E10|1|M/S|20|1980-01-01T00:00:00|2599-12-31T23:59:59
IM|ILAR|FB|SHZ|64.7714|-146.886597|419.0|0.0|0.0|-90.0|G23900=ILAR=Gen=AIM24S_4.33E7=ILAR|1.60990996E10|2|M/S|20|1980-01-01T00:00:00|2999-12-31T23:59:59
