Name	    Lon	           Lat	        Depth
IL02	-146.864304	64.784698	261
IL03	-146.851196	64.771400	440
IL04	-146.876099	64.757004	528
IL05	-146.922897	64.773102	389
IL06	-146.904007	64.779198	262
IL07	-146.839294	64.799301	401
IL08	-146.796906	64.790298	505
IL09	-146.783203	64.768097	494
IL10	-146.843094	64.752899	586
IL11	-146.8974	64.741501	444
IL12	-146.943604	64.744698	366
IL13	-146.986496	64.747902	367
IL14	-146.979401	64.775002	223
IL15	-146.942795	64.777702	336
IL16	-146.921494	64.793297	382
IL17	-146.889801	64.807198	357
IL18	-146.776794	64.757500	554
IL19	-146.797394	64.746101	549
