  Mon Apr  3 21:22:41 2023 for program Focmec
 No comments
 Input from a file test.inp
 
 Polarities/Errors:  P 027/ 1.0  SV 000/ 0.0  SH 000/ 0.0
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   10.00  185.00  -90.00       0.94  0.00  0.00
   10.00  190.00  -90.00       0.91  0.00  0.00
   10.00  195.00  -90.00       0.92  0.00  0.00
   10.00  200.00  -90.00       0.94  0.00  0.00
   10.00  205.00  -90.00       0.96  0.00  0.00
   10.00  210.00  -90.00       0.99  0.00  0.00
   75.00   55.00   90.00       0.84  0.00  0.00
   65.00   60.00   90.00       0.83  0.00  0.00
   70.00   60.00   90.00       0.58  0.00  0.00
   75.00   60.00   90.00       0.50  0.00  0.00
   60.00   65.00   90.00       0.76  0.00  0.00
   65.00   65.00   90.00       0.53  0.00  0.00
   70.00   65.00   90.00       0.31  0.00  0.00
   75.00   65.00   90.00       0.33  0.00  0.00
   55.00   70.00   90.00       0.79  0.00  0.00
   60.00   70.00   90.00       0.51  0.00  0.00
   65.00   70.00   90.00       0.31  0.00  0.00
   70.00   70.00   90.00       0.17  0.00  0.00
   75.00   70.00   90.00       0.22  0.00  0.00
   50.00   75.00   90.00       0.95  0.00  0.00
   55.00   75.00   90.00       0.69  0.00  0.00
   60.00   75.00   90.00       0.45  0.00  0.00
   65.00   75.00   90.00       0.23  0.00  0.00
   70.00   75.00   90.00       0.09  0.00  0.00
   75.00   75.00   90.00       0.12  0.00  0.00
   80.00   75.00   90.00       0.91  0.00  0.00
   55.00   80.00   90.00       0.77  0.00  0.00
   60.00   80.00   90.00       0.50  0.00  0.00
   65.00   80.00   90.00       0.25  0.00  0.00
   70.00   80.00   90.00       0.14  0.00  0.00
   75.00   80.00   90.00       0.13  0.00  0.00
   80.00   80.00   90.00       0.90  0.00  0.00
   60.00   85.00   90.00       0.67  0.00  0.00
   65.00   85.00   90.00       0.39  0.00  0.00
   70.00   85.00   90.00       0.17  0.00  0.00
   75.00   85.00   90.00       0.16  0.00  0.00
   80.00   85.00   90.00       0.93  0.00  0.00
   65.00   90.00   90.00       0.60  0.00  0.00
   70.00   90.00   90.00       0.26  0.00  0.00
   75.00   90.00   90.00       0.19  0.00  0.00
   80.00   90.00   90.00       0.97  0.00  0.00
   65.00   95.00   90.00       0.90  0.00  0.00
   70.00   95.00   90.00       0.43  0.00  0.00
   75.00   95.00   90.00       0.27  0.00  0.00
   70.00  100.00   90.00       0.71  0.00  0.00
   75.00  100.00   90.00       0.42  0.00  0.00
   75.00  105.00   90.00       0.66  0.00  0.00
   15.00  295.00  -90.00       0.91  0.00  0.00
   15.00  300.00  -90.00       0.78  0.00  0.00
   15.00  305.00  -90.00       0.67  0.00  0.00
   10.00  305.00  -90.00       0.94  0.00  0.00
   20.00  310.00  -90.00       0.82  0.00  0.00
   15.00  310.00  -90.00       0.57  0.00  0.00
   10.00  310.00  -90.00       0.87  0.00  0.00
   20.00  315.00  -90.00       0.62  0.00  0.00
   15.00  315.00  -90.00       0.48  0.00  0.00
   10.00  315.00  -90.00       0.82  0.00  0.00
   25.00  320.00  -90.00       0.97  0.00  0.00
   20.00  320.00  -90.00       0.51  0.00  0.00
   15.00  320.00  -90.00       0.41  0.00  0.00
   10.00  320.00  -90.00       0.78  0.00  0.00
   25.00  325.00  -90.00       0.84  0.00  0.00
   20.00  325.00  -90.00       0.49  0.00  0.00
   15.00  325.00  -90.00       0.43  0.00  0.00
   10.00  325.00  -90.00       0.82  0.00  0.00
   25.00  330.00  -90.00       0.77  0.00  0.00
   20.00  330.00  -90.00       0.48  0.00  0.00
   15.00  330.00  -90.00       0.47  0.00  0.00
   10.00  330.00  -90.00       0.87  0.00  0.00
   25.00  335.00  -90.00       0.73  0.00  0.00
   20.00  335.00  -90.00       0.50  0.00  0.00
   15.00  335.00  -90.00       0.53  0.00  0.00
   10.00  335.00  -90.00       0.93  0.00  0.00
   30.00  340.00  -90.00       0.95  0.00  0.00
   25.00  340.00  -90.00       0.75  0.00  0.00
   20.00  340.00  -90.00       0.59  0.00  0.00
   15.00  340.00  -90.00       0.62  0.00  0.00
