Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds Err ErrMag Coda_duration Amplitude Period
IFR ? ? ? P ? 20150917 1512 22 GAU 0.0 0.0 275.67 0.0
AVE ? ? ? P ? 20150917 1512 21 GAU 0.0 0.0 -163.68 0.0
ECEU ? ? ? P ? 20150917 1512 07 GAU 0.0 0.0 560.21 0.0
CEU ? ? ? P ? 20150917 1512 08 GAU 0.0 0.0 151.82 0.0
EMIJ ? ? ? P ? 20150917 1512 15 GAU 0.0 0.0 50.56 0.0
EMIJ ? ? ? S ? 20150917 1512 38 GAU 0.0 0.0 199.56 0.0
OBS02 ? ? ? P ? 20150917 1512 25 GAU 0.0 0.0 856.72 0.0
EMAL ? ? ? P ? 20150917 1512 20 GAU 0.0 0.0 -109.87 0.0
OBS02 ? ? ? S ? 20150917 1512 57 GAU 0.0 0.0 -19255.28 0.0
EBER ? ? ? P ? 20150917 1512 36 GAU 0.0 0.0 -302.60 0.0
ELGU ? ? ? P ? 20150917 1512 28 GAU 0.0 0.0 -132.31 0.0
OBS03 ? ? ? P ? 20150917 1512 30 GAU 0.0 0.0 1960.36 0.0
OBS01 ? ? ? P ? 20150917 1512 24 GAU 0.0 0.0 -4227.95 0.0
OBS03 ? ? ? S ? 20150917 1513 00 GAU 0.0 0.0 -1905.64 0.0
ESPR ? ? ? Pg ? 20150917 1512 09 GAU 0.0 0.0 1693.19 0.0
EGOR ? ? ? P ? 20150917 1512 27 GAU 0.0 0.0 -47.53 0.0
EQTA ? ? ? P ? 20150917 1512 33 GAU 0.0 0.0 -0.91 0.0
OBS06 ? ? ? P ? 20150917 1512 27 GAU 0.0 0.0 2028.52 0.0
EGOR ? ? ? S ? 20150917 1512 55 GAU 0.0 0.0 483.43 0.0
EQTA ? ? ? S ? 20150917 1513 10 GAU 0.0 0.0 -45.76 0.0
ARNO ? ? ? P ? 20150917 1512 08 GAU 0.0 0.0 3230.76 0.0
OBS05 ? ? ? P ? 20150917 1512 29 GAU 0.0 0.0 321.34 0.0
OBS05 ? ? ? S ? 20150917 1513 06 GAU 0.0 0.0 828.79 0.0
PBDV ? ? ? Pg ? 20150917 1512 11 GAU 0.0 0.0 2.21 0.0
PFVI ? ? ? P ? 20150917 1512 16 GAU 0.0 0.0 52.43 0.0
PVAQ ? ? ? P ? 20150917 1512 13 GAU 0.0 0.0 246.35 0.0
EMIN ? ? ? P ? 20150917 1512 17 GAU 0.0 0.0 15.11 0.0
EGRO ? ? ? P ? 20150917 1512 15 GAU 0.0 0.0 -381.71 0.0
PVAQ ? ? ? S ? 20150917 1512 34 GAU 0.0 0.0 -1346.07 0.0
EGRO ? ? ? S ? 20150917 1512 35 GAU 0.0 0.0 -1516.55 0.0
EMIN ? ? ? S ? 20150917 1512 40 GAU 0.0 0.0 -366.05 0.0
PCVE ? ? ? P ? 20150917 1512 17 GAU 0.0 0.0 147.41 0.0
EADA ? ? ? P ? 20150917 1512 32 GAU 0.0 0.0 187.55 0.0
PCVE ? ? ? S ? 20150917 1512 41 GAU 0.0 0.0 25.41 0.0
EADA ? ? ? S ? 20150917 1513 05 GAU 0.0 0.0 132.92 0.0
ECAB ? ? ? S ? 20150917 1512 52 GAU 0.0 0.0 872.89 0.0
ETOB ? ? ? P ? 20150917 1513 00 GAU 0.0 0.0 -72.96 0.0
PNCL ? ? ? P ? 20150917 1512 25 GAU 0.0 0.0 224.59 0.0
EVO ? ? ? P ? 20150917 1512 29 GAU 0.0 0.0 -375.88 0.0
EBAD ? ? ? P ? 20150917 1512 30 GAU 0.0 0.0 45.98 0.0
PESTR ? ? ? P ? 20150917 1512 32 GAU 0.0 0.0 55.82 0.0
PMAFR ? ? ? P ? 20150917 1512 39 GAU 0.0 0.0 78.71 0.0
UCM ? ? ? P ? 20150917 1513 05 GAU 0.0 0.0 -426.36 0.0
