Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds Err ErrMag Coda_duration Amplitude Period
EADA ? HHZ ? P U 20150917 1512 32 GAU 0.0 0.0 -148.67 0.0
EBAD ? HHZ ? P D 20150917 1512 30 GAU 0.0 0.0 -311.14 0.0
EALB ? HHZ ? P U 20150917 1512 31 GAU 0.0 0.0 -7.39 0.0
EBER ? HHZ ? P D 20150917 1512 36 GAU 0.0 0.0 -33.03 0.0
ECEU ? HHZ ? P D 20150917 1512 07 GAU 0.0 0.0 233.44 0.0
EADA ? HHZ ? S ? 20150917 1513 05 GAU 0.0 0.0 -775.63 0.0
EBAD ? HHZ ? S ? 20150917 1513 04 GAU 0.0 0.0 -348.27 0.0
ECAB ? HHZ ? P ? 20150917 1512 25 GAU 0.0 0.0 -39.36 0.0
ECAB ? HHZ ? S ? 20150917 1512 54 GAU 0.0 0.0 -612.71 0.0
EGOR ? HHZ ? P U 20150917 1512 26 GAU 0.0 0.0 -126.90 0.0
EGOR ? HHZ ? S + 20150917 1512 55 GAU 0.0 0.0 -126.90 0.0
EGRO ? HHZ ? P D 20150917 1512 14 GAU 0.0 0.0 -194.14 0.0
ECHE ? HHZ ? P U 20150917 1513 12 GAU 0.0 0.0 -500.87 0.0
EGRO ? HHZ ? S - 20150917 1512 36 GAU 0.0 0.0 -821.62 0.0
EMIJ ? HHZ ? P U 20150917 1512 15 GAU 0.0 0.0 -88.63 0.0
ELGU ? HHZ ? P ? 20150917 1512 28 GAU 0.0 0.0 -265.21 0.0
EMIN ? HHZ ? P D 20150917 1512 17 GAU 0.0 0.0 -97.45 0.0
ESPR ? HHZ ? P U 20150917 1512 09 GAU 0.0 0.0 65.78 0.0
ETOB ? HHZ ? P U 20150917 1513 00 GAU 0.0 0.0 -417.48 0.0
PBDV ? HHZ ? P D 20150917 1512 11 GAU 0.0 0.0 -580.52 0.0
PCVE ? HHZ ? P D 20150917 1512 17 GAU 0.0 0.0 -22.86 0.0
PCVE ? HHZ ? S ? 20150917 1512 42 GAU 0.0 0.0 -675.37 0.0
PESTR ? HHZ ? P ? 20150917 1512 30 GAU 0.0 0.0 56.52 0.0
PFVI ? HHZ ? P D 20150917 1512 16 GAU 0.0 0.0 195.65 0.0
PMAFR ? HHZ ? P D 20150917 1512 39 GAU 0.0 0.0 42.84 0.0
PNCL ? HHZ ? P D 20150917 1512 25 GAU 0.0 0.0 -2233.50 0.0
PVAQ ? HHZ ? P D 20150917 1512 13 GAU 0.0 0.0 -1046.45 0.0
AVE ? HHZ ? P U 20150917 1512 21 GAU 0.0 0.0 -1302.16 0.0
CEU ? HHZ ? P U 20150917 1512 08 GAU 0.0 0.0 -121.81 0.0
EMAL ? HHZ ? P U 20150917 1512 20 GAU 0.0 0.0 -501.48 0.0
EVO ? HHZ ? P D 20150917 1512 29 GAU 0.0 0.0 130.99 0.0
EVO ? HHZ ? S ? 20150917 1513 02 GAU 0.0 0.0 -644.14 0.0
EMAL ? HHZ ? S ? 20150917 1512 47 GAU 0.0 0.0 -536.63 0.0
IFR ? HHZ ? P D 20150917 1512 22 GAU 0.0 0.0 1271.34 0.0
OBS01 ? SHZ ? P U 20150917 1512 24 GAU 0.0 0.0 428734.70 0.0
OBS02 ? SHZ ? P U 20150917 1512 25 GAU 0.0 0.0 -141816.49 0.0
OBS02 ? SHZ ? S ? 20150917 1512 57 GAU 0.0 0.0 -148070.28 0.0
OBS01 ? SHZ ? S ? 20150917 1512 56 GAU 0.0 0.0 429418.13 0.0
OBS03 ? SHZ ? P U 20150917 1512 30 GAU 0.0 0.0 -491216.26 0.0
OBS05 ? SHZ ? P U 20150917 1512 31 GAU 0.0 0.0 -5157.26 0.0
OBS03 ? SHZ ? S ? 20150917 1513 04 GAU 0.0 0.0 -491216.26 0.0
OBS05 ? SHZ ? S ? 20150917 1513 06 GAU 0.0 0.0 -9067.08 0.0
OBS06 ? SHZ ? S ? 20150917 1513 00 GAU 0.0 0.0 -4488.94 0.0
UCM ? HHZ ? P ? 20150917 1513 04 GAU 0.0 0.0 609.56 0.0
