Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds Err ErrMag Coda_duration Amplitude Period
EADA ? HHZ ? P U 20150917 1512 32 GAU 0.0 0.0 -180.14 0.0
EBAD ? HHZ ? P D 20150917 1512 30 GAU 0.0 0.0 -422.52 0.0
EBER ? HHZ ? P D 20150917 1512 36 GAU 0.0 0.0 -109.46 0.0
ECEU ? HHZ ? P U 20150917 1512 07 GAU 0.0 0.0 134.37 0.0
ECAB ? HHZ ? P ? 20150917 1512 26 GAU 0.0 0.0 -74.41 0.0
EGOR ? HHZ ? P U 20150917 1512 26 GAU 0.0 0.0 -126.90 0.0
EGOR ? HHZ ? S ? 20150917 1512 59 GAU 0.0 0.0 -594.47 0.0
EGRO ? HHZ ? P D 20150917 1512 14 GAU 0.0 0.0 -14.13 0.0
EGRO ? HHZ ? S ? 20150917 1512 36 GAU 0.0 0.0 -1350.67 0.0
ELGU ? HHZ ? P ? 20150917 1512 28 GAU 0.0 0.0 -234.04 0.0
EMIJ ? HHZ ? P U 20150917 1512 15 GAU 0.0 0.0 -113.83 0.0
EMIJ ? HHZ ? S ? 20150917 1512 38 GAU 0.0 0.0 -643.11 0.0
EMIN ? HHZ ? P D 20150917 1512 17 GAU 0.0 0.0 94.11 0.0
EMIN ? HHZ ? S ? 20150917 1512 41 GAU 0.0 0.0 -1821.50 0.0
EMUR ? HHZ ? P U 20150917 1512 58 GAU 0.0 0.0 -118.31 0.0
EQTA ? HHZ ? P U 20150917 1512 33 GAU 0.0 0.0 -67.98 0.0
ESPR ? HHZ ? P U 20150917 1512 09 GAU 0.0 0.0 365.23 0.0
PBDV ? HHZ ? P D 20150917 1512 11 GAU 0.0 0.0 -836.55 0.0
PCVE ? HHZ ? P D 20150917 1512 17 GAU 0.0 0.0 -95.36 0.0
PCVE ? HHZ ? S ? 20150917 1512 42 GAU 0.0 0.0 -892.88 0.0
PESTR ? HHZ ? Pn ? 20150917 1512 30 GAU 0.0 0.0 27.94 0.0
PESTR ? HHZ ? Pg ? 20150917 1512 32 GAU 0.0 0.0 313.77 0.0
PFVI ? HHZ ? P D 20150917 1512 16 GAU 0.0 0.0 295.77 0.0
PMAFR ? HHZ ? P D 20150917 1512 39 GAU 0.0 0.0 163.40 0.0
PESTR ? HHZ ? S ? 20150917 1513 08 GAU 0.0 0.0 462.46 0.0
PMAFR ? HHZ ? S ? 20150917 1513 21 GAU 0.0 0.0 -743.92 0.0
PNCL ? HHZ ? P D 20150917 1512 25 GAU 0.0 0.0 -1971.02 0.0
PVAQ ? HHZ ? P D 20150917 1512 13 GAU 0.0 0.0 -1240.76 0.0
ARNO ? HHZ ? P D 20150917 1512 08 GAU 0.0 0.0 -1074.06 0.0
PVAQ ? HHZ ? S ? 20150917 1512 34 GAU 0.0 0.0 -657.84 0.0
AVE ? HHZ ? P ? 20150917 1512 21 GAU 0.0 0.0 -1683.07 0.0
CEU ? HHZ ? P U 20150917 1512 08 GAU 0.0 0.0 -157.33 0.0
EMAL ? HHZ ? P U 20150917 1512 20 GAU 0.0 0.0 -105.13 0.0
EVO ? HHZ ? P D 20150917 1512 29 GAU 0.0 0.0 -1649.09 0.0
EVO ? HHZ ? S ? 20150917 1513 02 GAU 0.0 0.0 -1571.58 0.0
IFR ? HHZ ? P D 20150917 1512 22 GAU 0.0 0.0 48.06 0.0
OBS01 ? SHZ ? P U 20150917 1512 24 GAU 0.0 0.0 -8760.82 0.0
OBS01 ? SHZ ? S ? 20150917 1512 58 GAU 0.0 0.0 -11494.62 0.0
OBS02 ? SHZ ? S ? 20150917 1512 57 GAU 0.0 0.0 -7685.10 0.0
OBS02 ? SHZ ? P U 20150917 1512 25 GAU 0.0 0.0 132.04 0.0
OBS03 ? SHZ ? P U 20150917 1512 30 GAU 0.0 0.0 -1645.26 0.0
OBS05 ? SHZ ? P U 20150917 1512 31 GAU 0.0 0.0 -6.57 0.0
OBS06 ? SHZ ? P U 20150917 1512 26 GAU 0.0 0.0 1127.88 0.0
OBS03 ? SHZ ? S ? 20150917 1513 04 GAU 0.0 0.0 996.26 0.0
OBS05 ? SHZ ? S ? 20150917 1513 07 GAU 0.0 0.0 -3658.30 0.0
OBS06 ? SHZ ? S ? 20150917 1513 00 GAU 0.0 0.0 -407.35 0.0
SFS ? HHZ ? P ? 20150917 1512 03 GAU 0.0 0.0 -164.15 0.0
