Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
ALHU ? HHE ? S ? 20221224 1828 51.875 GAU 0.00E+00 0.0 1.96 0.0
WMELI ? HHZ ? P U 20221224 1828 49.603 GAU 0.00E+00 0.0 -12.81 0.0
WMELI ? HHE ? S ? 20221224 1828 57.329 GAU 0.00E+00 0.0 8517.87 0.0
CHAS ? HHZ ? P ? 20221224 1828 56.253 GAU 0.00E+00 0.0 563.65 0.0
CHAS ? HHE ? S ? 20221224 1829 10.706 GAU 0.00E+00 0.0 -255.49 0.0
EMIJ ? HHE ? S ? 20221224 1829 21.209 GAU 0.00E+00 0.0 121.64 0.0
EMIJ ? HHZ ? P ? 20221224 1829 02.771 GAU 0.00E+00 0.0 2.59 0.0
EMAL ? HHZ ? P ? 20221224 1829 03.328 GAU 0.00E+00 0.0 5.54 0.0
EMAL ? HHE ? S ? 20221224 1829 21.394 GAU 0.00E+00 0.0 -80.15 0.0
ECEU ? HHZ ? P D 20221224 1829 03.313 GAU 0.00E+00 0.0 17.73 0.0
ECEU ? HHE ? P ? 20221224 1829 21.836 GAU 0.00E+00 0.0 -111.13 0.0
ECEU ? HHE ? S ? 20221224 1829 22.192 GAU 0.00E+00 0.0 -211.08 0.0
ALHU ? HHZ ? P ? 20221224 1828 45.812 GAU 0.00E+00 0.0 1.58 0.0
EBER ? HHZ ? P ? 20221224 1829 04.934 GAU 0.00E+00 0.0 -6.65 0.0
EBER ? HHE ? S ? 20221224 1829 25.225 GAU 0.00E+00 0.0 171.11 0.0
EGOR ? HHZ ? P D 20221224 1829 07.781 GAU 0.00E+00 0.0 -6.06 0.0
EGOR ? HHE ? S r 20221224 1829 30.610 GAU 0.00E+00 0.0 -92.86 0.0
