Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds Err ErrMag Coda_duration Amplitude Period
EADA ? HHZ ? P ? 20150917 1512 31.977 GAU 7.00E-02 0.0 62300000.00 0.0
EALB ? HHZ ? P ? 20150917 1512 31.970 GAU 5.00E-01 0.0 34600000.00 0.0
EBAD ? HHZ ? P ? 20150917 1512 30.530 GAU 2.00E-02 0.0 74400000.00 0.0
EBER ? HHZ ? P ? 20150917 1512 36.527 GAU 4.00E-02 0.0 38200000.00 0.0
ECAB ? HHZ ? P ? 20150917 1512 25.500 GAU 7.00E-02 0.0 26500000.00 0.0
ECAB ? HHZ ? P ? 20150917 1512 54.720 GAU 5.00E-01 0.0 284000000.00 0.0
ECAB ? HHZ ? S ? 20150917 1513 01.760 GAU 5.00E-01 0.0 239000000.00 0.0
ECEU ? HHZ ? P ? 20150917 1508 59.470 GAU 5.00E-01 0.0 15000000.00 0.0
ECEU ? HHZ ? P ? 20150917 1512 07.637 GAU 7.00E-02 0.0 181000000.00 0.0
ECHE ? HHZ ? P ? 20150917 1513 12.740 GAU 7.00E-02 0.0 43200000.00 0.0
ECHE ? HHZ ? S ? 20150917 1513 19.110 GAU 5.00E-01 0.0 21100000.00 0.0
ECHE ? HHZ ? S ? 20150917 1514 19.800 GAU 5.00E-01 0.0 28700000.00 0.0
EGOR ? HHZ ? P ? 20150917 1512 27.110 GAU 4.00E-02 0.0 90000000.00 0.0
EGRO ? HHZ ? P ? 20150917 1512 14.390 GAU 2.00E-02 0.0 145000000.00 0.0
EGRO ? HHZ ? S ? 20150917 1512 36.770 GAU 5.00E-01 0.0 499000000.00 0.0
EIBI ? HHZ ? P ? 20150917 1513 29.747 GAU 1.00E-01 0.0 27200000.00 0.0
ELGU ? HHZ ? P ? 20150917 1512 28.190 GAU 7.00E-02 0.0 141000000.00 0.0
EMIJ ? HHZ ? P ? 20150917 1512 15.790 GAU 7.00E-02 0.0 110000000.00 0.0
EMIN ? HHZ ? P ? 20150917 1512 17.167 GAU 4.00E-02 0.0 51400000.00 0.0
EMIN ? HHZ ? S ? 20150917 1512 41.307 GAU 5.00E-01 0.0 577000000.00 0.0
EMUR ? HHZ ? P ? 20150917 1512 58.357 GAU 7.00E-02 0.0 25300000.00 0.0
ENIJ ? HHZ ? P ? 20150917 1512 44.297 GAU 1.00E-01 0.0 39600000.00 0.0
EQTA ? HHZ ? P ? 20150917 1512 33.977 GAU 4.00E-02 0.0 57500000.00 0.0
ESPR ? HHZ ? P ? 20150917 1512 09.387 GAU 2.00E-02 0.0 238000000.00 0.0
ETOB ? HHZ ? P ? 20150917 1513 00.390 GAU 2.00E-02 0.0 164000000.00 0.0
ETOB ? HHZ ? S ? 20150917 1513 56.320 GAU 5.00E-01 0.0 82200000.00 0.0
PBDV ? HHZ ? P ? 20150917 1511 11.470 GAU 5.00E-01 0.0 6310000.00 0.0
PBDV ? HHZ ? P ? 20150917 1512 11.920 GAU 2.00E-02 0.0 331000000.00 0.0
PBDV ? HHZ ? S ? 20150917 1512 32.300 GAU 5.00E-01 0.0 287000000.00 0.0
PCVE ? HHZ ? P ? 20150917 1512 17.410 GAU 4.00E-02 0.0 148000000.00 0.0
PESTR ? HHZ ? P ? 20150917 1511 08.180 GAU 5.00E-01 0.0 24100000.00 0.0
PESTR ? HHZ ? P ? 20150917 1512 32.390 GAU 1.50E-01 0.0 38900000.00 0.0
PESTR ? HHZ ? P ? 20150917 1516 00.490 GAU 5.00E-01 0.0 14200000.00 0.0
PESTR ? HHZ ? P ? 20150917 1518 02.590 GAU 1.00E-01 0.0 15300000.00 0.0
PESTR ? HHZ ? S ? 20150917 1513 08.710 GAU 5.00E-01 0.0 148000000.00 0.0
PESTR ? HHZ ? S ? 20150917 1518 10.460 GAU 5.00E-01 0.0 15300000.00 0.0
PFVI ? HHZ ? P ? 20150917 1512 16.190 GAU 4.00E-02 0.0 127000000.00 0.0
PMAFR ? HHZ ? P ? 20150917 1512 39.868 GAU 7.00E-02 0.0 192000000.00 0.0
PMAFR ? HHZ ? P ? 20150917 1513 21.168 GAU 1.00E-01 0.0 213000000.00 0.0
PNCL ? HHZ ? P ? 20150917 1512 25.438 GAU 2.00E-02 0.0 549000000.00 0.0
PNCL ? HHZ ? P ? 20150917 1512 56.258 GAU 5.00E-01 0.0 624000000.00 0.0
PVAQ ? HHZ ? P ? 20150917 1512 13.190 GAU 2.00E-02 0.0 391000000.00 0.0
PVAQ ? HHZ ? S ? 20150917 1512 34.640 GAU 1.50E-01 0.0 875000000.00 0.0
ARNO ? HHZ ? P ? 20150917 1512 08.468 GAU 7.00E-02 0.0 1320000000.00 0.0
ARNO ? HHZ ? S ? 20150917 1512 25.548 GAU 5.00E-01 0.0 4210000000.00 0.0
AVE ? HHZ ? P ? 20150917 1512 21.910 GAU 1.00E-01 0.0 604000000.00 0.0
AVE ? HHZ ? P ? 20150917 1512 49.300 GAU 1.50E-01 0.0 1730000000.00 0.0
AVE ? HHZ ? P ? 20150917 1521 00.420 GAU 5.00E-01 0.0 245000000.00 0.0
AVE ? HHZ ? S ? 20150917 1512 24.510 GAU 1.00E-01 0.0 474000000.00 0.0
AVE ? HHZ ? S ? 20150917 1512 53.600 GAU 1.00E-01 0.0 1730000000.00 0.0
CART ? HHZ ? P ? 20150917 1512 59.398 GAU 7.00E-02 0.0 101000000.00 0.0
CEU ? HHZ ? P ? 20150917 1512 08.360 GAU 2.00E-02 0.0 182000000.00 0.0
CHAS ? HHZ ? S ? 20150917 1517 25.308 GAU 5.00E-01 0.0 515000000.00 0.0
EMAL ? HHZ ? P ? 20150917 1512 20.580 GAU 1.50E-01 0.0 178000000.00 0.0
EVO ? HHZ ? P ? 20150917 1510 57.760 GAU 1.00E-01 0.0 124000000.00 0.0
EVO ? HHZ ? P ? 20150917 1512 29.110 GAU 2.00E-02 0.0 169000000.00 0.0
EVO ? HHZ ? P ? 20150917 1515 33.240 GAU 7.00E-02 0.0 138000000.00 0.0
EVO ? HHZ ? P ? 20150917 1517 24.700 GAU 4.00E-02 0.0 117000000.00 0.0
EVO ? HHZ ? P ? 20150917 1518 18.360 GAU 4.00E-02 0.0 26100000.00 0.0
EVO ? HHZ ? P ? 20150917 1519 08.720 GAU 4.00E-02 0.0 81500000.00 0.0
EVO ? HHZ ? S ? 20150917 1508 58.750 GAU 5.00E-01 0.0 20000000.00 0.0
EVO ? HHZ ? S ? 20150917 1512 02.930 GAU 5.00E-01 0.0 46700000.00 0.0
EVO ? HHZ ? S ? 20150917 1513 02.610 GAU 1.00E-01 0.0 356000000.00 0.0
EVO ? HHZ ? S ? 20150917 1517 24.720 GAU 5.00E-01 0.0 20200000.00 0.0
EVO ? HHZ ? S ? 20150917 1518 19.430 GAU 5.00E-01 0.0 10600000.00 0.0
IFR ? HHZ ? P ? 20150917 1512 22.830 GAU 4.00E-02 0.0 76000000.00 0.0
