Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
SFS ? HHZ ? P ? 20150917 1512 03.502 GAU 0.00E+00 0.0 1062.52 0.0
ECEU ? HHZ ? P U 20150917 1512 07.609 GAU 0.00E+00 0.0 51.17 0.0
CEU ? HHZ ? P U 20150917 1512 08.339 GAU 0.00E+00 0.0 -97.92 0.0
ARNO ? HHZ ? P D 20150917 1512 08.403 GAU 0.00E+00 0.0 -505.27 0.0
ESPR ? HHZ ? P U 20150917 1512 09.350 GAU 0.00E+00 0.0 170.04 0.0
PBDV ? HHZ ? P D 20150917 1512 11.790 GAU 0.00E+00 0.0 -423.12 0.0
ESPR ? HHZ ? S ? 20150917 1512 20.894 GAU 0.00E+00 0.0 -471.96 0.0
ARNO ? HHZ ? S ? 20150917 1512 26.538 GAU 0.00E+00 0.0 28643.71 0.0
PVAQ ? HHZ ? P D 20150917 1512 13.175 GAU 0.00E+00 0.0 -447.02 0.0
EGRO ? HHZ ? P D 20150917 1512 14.394 GAU 0.00E+00 0.0 -29.62 0.0
PFVI ? HHZ ? P D 20150917 1512 16.187 GAU 0.00E+00 0.0 321.11 0.0
PVAQ ? HHZ ? S ? 20150917 1512 34.580 GAU 0.00E+00 0.0 -380.44 0.0
EGRO ? HHZ ? S ? 20150917 1512 36.701 GAU 0.00E+00 0.0 -1243.18 0.0
EMIJ ? HHZ ? P U 20150917 1512 15.673 GAU 0.00E+00 0.0 -38.63 0.0
PCVE ? HHZ ? P D 20150917 1512 17.346 GAU 0.00E+00 0.0 194.46 0.0
EMIN ? HHZ ? P D 20150917 1512 17.184 GAU 0.00E+00 0.0 207.42 0.0
EMIN ? HHZ ? S ? 20150917 1512 41.210 GAU 0.00E+00 0.0 -1835.19 0.0
PCVE ? HHZ ? S ? 20150917 1512 42.590 GAU 0.00E+00 0.0 1617.87 0.0
EMAL ? HHZ ? P ? 20150917 1512 20.510 GAU 0.00E+00 0.0 -46.50 0.0
AVE ? HHZ ? P ? 20150917 1512 21.829 GAU 0.00E+00 0.0 -1405.65 0.0
OBS01 ? SHZ ? P U 20150917 1512 24.580 GAU 0.00E+00 0.0 -6154.47 0.0
IFR ? HHZ ? P D 20150917 1512 22.812 GAU 0.00E+00 0.0 217.68 0.0
PNCL ? HHZ ? P D 20150917 1512 25.378 GAU 0.00E+00 0.0 -1801.98 0.0
OBS01 ? SHZ ? S ? 20150917 1512 58.231 GAU 0.00E+00 0.0 -11803.84 0.0
OBS02 ? SHZ ? P U 20150917 1512 25.573 GAU 0.00E+00 0.0 1900.06 0.0
EGOR ? HHZ ? P U 20150917 1512 27.843 GAU 0.00E+00 0.0 -92.01 0.0
ECAB ? HHZ ? P ? 20150917 1512 25.623 GAU 0.00E+00 0.0 -218.81 0.0
ECAB ? HHZ ? S ? 20150917 1512 54.488 GAU 0.00E+00 0.0 -933.44 0.0
OBS02 ? SHZ ? S ? 20150917 1512 57.248 GAU 0.00E+00 0.0 -7113.94 0.0
EGOR ? HHZ ? S ? 20150917 1512 59.459 GAU 0.00E+00 0.0 578.19 0.0
OBS06 ? SHZ ? P U 20150917 1512 27.234 GAU 0.00E+00 0.0 1269.57 0.0
EVO ? HHZ ? P D 20150917 1512 29.687 GAU 0.00E+00 0.0 -129.32 0.0
ELGU ? HHZ ? P ? 20150917 1512 28.190 GAU 0.00E+00 0.0 -261.33 0.0
EBAD ? HHZ ? P D 20150917 1512 30.468 GAU 0.00E+00 0.0 -395.15 0.0
OBS03 ? SHZ ? P U 20150917 1512 30.124 GAU 0.00E+00 0.0 2024.86 0.0
OBS05 ? SHZ ? P U 20150917 1512 31.472 GAU 0.00E+00 0.0 1400.69 0.0
PESTR ? HHZ ? P ? 20150917 1512 30.465 GAU 0.00E+00 0.0 91.24 0.0
EADA ? HHZ ? P ? 20150917 1512 32.765 GAU 0.00E+00 0.0 -113.05 0.0
EQTA ? HHZ ? P U 20150917 1512 33.864 GAU 0.00E+00 0.0 -75.61 0.0
EBER ? HHZ ? P D 20150917 1512 36.374 GAU 0.00E+00 0.0 -1.84 0.0
PMAFR ? HHZ ? P D 20150917 1512 39.810 GAU 0.00E+00 0.0 209.37 0.0
