Distance	PZ
16		5.9
17		5.9
18		5.9
19		6.0
20		6.0
21		6.1
22		6.2
23		6.3
24		6.3
25		6.5
26		6.4
27		6.5
28		6.6
29		6.6
30		6.6
31		6.7
32		6.7
33		6.7
34		6.7
35		6.7
36		6.6
37		6.5
38		6.5
39		6.5
40		6.4
41		6.5
42		6.5
43		6.5
44		6.5
45		6.7
46		6.8
47		6.9
48		6.8
49		6.8
50		6.7
51		6.7
52		6.7
53		6.7
54		6.8
55		6.8
56		6.8
57		6.8
58		6.8
59		6.8
60		6.8
61		6.9
62		7.0
63		6.9
64		7.0
65		7.0
66		7.0
67		7.0
68		7.0
69		7.0
70		6.9
71		6.9
72		6.9
73		6.9
74		6.8
75		6.8
76		6.9
77		6.9
78		6.9
79		6.8
80		6.7
81		6.8
82		6.9
83		7.0
84		7.0
85		7.0
86		6.9
87		7.0
88		7.1
89		7.0
90		7.0
91		7.1
92		7.1
93		7.2
94		7.1
95		7.1
96		7.3
97		7.4
98		7.5
99		7.5
100		7.4
101		7.3
102		7.4
103		7.5
104		7.6
105		7.7
106		7.8
108		7.9
109		8.0
110		8.1
112		8.2
114		8.6
116		8.8
118		9.0		
