Date;Time;Latitude;Longitude;Depth;Magnitude;mag_type
01/01/2007;02:03:03;34.9608;-4.0459;12.0;2.6;Mw
01/01/2007;16:47:32;37.0564;-4.0001;0.0;0.8;mbLg
01/01/2007;21:38:33;37.0484;-4.0193;0.0;0.5;mb
01/01/2007;23:17:56;37.0392;-4.0066;0.0;0.7;Ms
02/01/2007;04:19:29;37.1283;-5.4942;0.0;1.1;Mw
02/01/2007;04:39:28;37.0695;-5.3767;6.5;1.5;Mw
02/01/2007;06:06:44;37.0380;-5.3882;10.1;1.4;Mw
02/01/2007;09:31:36;37.1607;-5.4104;13.6;1.4;mbLg
02/01/2007;12:19:26;37.0909;-5.3974;10.9;3.6;Mw
02/01/2007;12:25:53;37.0916;-5.4059;10.3;2.0;mbLg
02/01/2007;12:29:21;37.1034;-5.3856;11.1;2.7;mbLg
02/01/2007;12:30:32;37.0521;-5.4158;11.2;2.2;Ms
02/01/2007;12:31:45;37.0741;-5.4071;0.0;1.7;mb
02/01/2007;12:33:05;37.0611;-5.4028;7.7;1.6;mb
02/01/2007;12:33:32;37.0776;-5.4023;10.3;2.0;mbLg
02/01/2007;12:37:40;37.0916;-5.4268;11.0;2.0;Mw
02/01/2007;12:38:21;37.0826;-5.3683;0.0;1.7;Mw
02/01/2007;13:39:38;37.0995;-5.4003;10.6;2.8;Mw
02/01/2007;13:40:39;37.0968;-5.4150;11.8;2.3;Mw
02/01/2007;13:52:45;37.0889;-5.4357;10.7;1.6;Mw
02/01/2007;14:18:38;37.1149;-5.4298;19.8;1.6;Mw
02/01/2007;14:34:48;37.0841;-5.4014;17.8;1.7;Mw
02/01/2007;14:41:25;37.0476;-3.9964;0.0;1.6;Mw
