AK135
number of layers
145
Parameters of the layers
depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp     Qs
      0.00       1.45       0.00       1.02   57822.00       0.00   
      3.00       1.45       0.00       1.02   57822.00       0.00   
      3.00       1.65       1.00       2.00     163.35      80.00   
      3.30       1.65       1.00       2.00     163.35      80.00   
      3.30       5.80       3.20       2.60    1478.30     599.99   
     10.00       5.80       3.20       2.60    1478.30     599.99   
     10.00       6.80       3.90       2.92    1368.02     599.99   
     18.00       6.80       3.90       2.92    1368.02     599.99   
     18.00       8.04       4.48       3.64     950.50     394.62   
     43.00       8.04       4.49       3.58     972.77     403.93   
     80.00       8.04       4.48       3.50    1008.71     417.59   
     80.00       8.04       4.49       3.50     182.03      75.60   
    120.00       8.05       4.50       3.43     182.57      76.06   
    120.00       8.05       4.50       3.43     182.57      76.06   
    165.00       8.18       4.51       3.37     188.72      76.55   
    210.00       8.30       4.52       3.32     200.97      79.40   
    210.00       8.30       4.52       3.32     338.47     133.72   
    260.00       8.48       4.61       3.37     346.37     136.38   
    310.00       8.66       4.70       3.41     355.85     139.38   
    360.00       8.85       4.78       3.46     366.34     142.76   
    410.00       9.03       4.87       3.51     377.93     146.57   
    410.00       9.36       5.08       3.93     413.66     162.50   
    460.00       9.53       5.19       3.93     417.32     164.87   
    510.00       9.70       5.29       3.92     419.94     166.80   
    560.00       9.86       5.40       3.92     422.55     168.78   
    610.00      10.03       5.50       3.92     425.51     170.82   
    660.00      10.20       5.61       3.92     428.69     172.93   
    660.00      10.79       5.96       4.24    1350.54     549.45   
    710.00      10.92       6.09       4.30    1311.17     543.48   
    760.00      11.06       6.21       4.36    1277.93     537.63   
    809.50      11.14       6.24       4.41    1269.44     531.91   
    859.00      11.22       6.28       4.46    1260.68     526.32   
    908.50      11.31       6.32       4.52    1251.69     520.83   
    958.00      11.39       6.35       4.57    1243.02     515.46   
   1007.50      11.47       6.39       4.59    1234.54     510.20   
   1057.00      11.55       6.42       4.62    1226.52     505.05   
   1106.50      11.63       6.45       4.65    1217.91     500.00   
   1156.00      11.70       6.48       4.67    1210.02     495.05   
   1205.50      11.78       6.51       4.70    1202.04     490.20   
   1255.00      11.85       6.54       4.73    1193.99     485.44   
   1304.50      11.92       6.57       4.75    1186.06     480.77   
   1354.00      11.99       6.60       4.78    1178.19     476.19   
   1403.50      12.06       6.63       4.80    1170.53     471.70   
   1453.00      12.12       6.66       4.83    1163.16     467.29   
   1502.50      12.19       6.68       4.86    1156.04     462.96   
   1552.00      12.26       6.71       4.88    1148.76     458.72   
   1601.50      12.32       6.73       4.91    1141.32     454.55   
   1651.00      12.38       6.76       4.93    1134.01     450.45   
   1700.50      12.44       6.78       4.96    1127.02     446.43   
   1750.00      12.50       6.81       4.98    1120.09     442.48   
   1799.50      12.56       6.83       5.01    1108.58     436.68   
   1849.00      12.62       6.85       5.03    1097.16     431.03   
   1898.50      12.68       6.87       5.05    1085.97     425.53   
   1948.00      12.74       6.90       5.08    1070.38     418.41   
   1997.50      12.80       6.92       5.10    1064.23     414.94   
   2047.00      12.85       6.94       5.13    1058.03     411.52   
   2096.50      12.91       6.96       5.15    1048.09     406.50   
   2146.00      12.97       6.99       5.17    1042.07     403.23   
   2195.50      13.02       7.01       5.20    1032.14     398.41   
   2245.00      13.08       7.03       5.22    1018.38     392.16   
   2294.50      13.13       7.05       5.24    1008.79     387.60   
   2344.00      13.19       7.07       5.26     999.44     383.14   
   2393.50      13.25       7.09       5.29     990.77     378.79   
   2443.00      13.30       7.11       5.31     985.63     375.94   
   2492.50      13.36       7.14       5.33     976.81     371.75   
   2542.00      13.42       7.16       5.35     968.46     367.65   
   2591.50      13.47       7.18       5.37     960.36     363.64   
   2640.00      13.53       7.20       5.40     952.00     359.71   
   2690.00      13.59       7.23       5.42     940.88     354.61   
   2740.00      13.65       7.25       5.44     933.21     350.88   
   2740.00      13.65       7.25       5.69     722.73     271.74   
   2789.67      13.65       7.26       5.72     726.87     273.97   
   2839.33      13.66       7.27       5.75     725.11     273.97   
   2891.50      13.66       7.28       5.77     723.12     273.97   
   2891.50       8.00       0.00       9.91   57822.00       0.00   
   2939.33       8.04       0.00       9.99   57822.00       0.00   
   2989.66       8.13       0.00      10.07   57822.00       0.00   
   3039.99       8.22       0.00      10.15   57822.00       0.00   
   3090.32       8.31       0.00      10.22   57822.00       0.00   
   3140.66       8.40       0.00      10.30   57822.00       0.00   
   3190.99       8.49       0.00      10.37   57822.00       0.00   
   3241.32       8.57       0.00      10.44   57822.00       0.00   
   3291.65       8.65       0.00      10.51   57822.00       0.00   
   3341.98       8.73       0.00      10.57   57822.00       0.00   
   3392.31       8.80       0.00      10.64   57822.00       0.00   
   3442.64       8.88       0.00      10.70   57822.00       0.00   
   3492.97       8.95       0.00      10.76   57822.00       0.00   
   3543.30       9.01       0.00      10.83   57822.00       0.00   
   3593.64       9.08       0.00      10.89   57822.00       0.00   
   3643.97       9.14       0.00      10.94   57822.00       0.00   
   3694.30       9.20       0.00      11.00   57822.00       0.00   
   3744.63       9.26       0.00      11.06   57822.00       0.00   
   3794.96       9.32       0.00      11.11   57822.00       0.00   
   3845.29       9.38       0.00      11.16   57822.00       0.00   
   3895.62       9.43       0.00      11.21   57822.00       0.00   
   3945.95       9.48       0.00      11.26   57822.00       0.00   
   3996.28       9.53       0.00      11.31   57822.00       0.00   
   4046.62       9.58       0.00      11.36   57822.00       0.00   
   4096.95       9.62       0.00      11.41   57822.00       0.00   
   4147.28       9.67       0.00      11.45   57822.00       0.00   
   4197.61       9.71       0.00      11.50   57822.00       0.00   
   4247.94       9.75       0.00      11.54   57822.00       0.00   
   4298.27       9.79       0.00      11.58   57822.00       0.00   
   4348.60       9.83       0.00      11.62   57822.00       0.00   
   4398.93       9.87       0.00      11.66   57822.00       0.00   
   4449.26       9.91       0.00      11.70   57822.00       0.00   
   4499.60       9.94       0.00      11.74   57822.00       0.00   
   4549.93       9.98       0.00      11.77   57822.00       0.00   
   4600.26      10.01       0.00      11.81   57822.00       0.00   
   4650.59      10.04       0.00      11.84   57822.00       0.00   
   4700.92      10.08       0.00      11.88   57822.00       0.00   
   4751.25      10.11       0.00      11.91   57822.00       0.00   
   4801.58      10.14       0.00      11.94   57822.00       0.00   
   4851.91      10.17       0.00      11.97   57822.00       0.00   
   4902.24      10.20       0.00      12.00   57822.00       0.00   
   4952.58      10.23       0.00      12.03   57822.00       0.00   
   5002.91      10.26       0.00      12.06   57822.00       0.00   
   5053.24      10.27       0.00      12.09   57822.00       0.00   
   5103.57      10.29       0.00      12.11   57822.00       0.00   
   5153.50      10.29       0.00      12.14   57822.00       0.00   
   5153.50      11.04       3.50      12.70     633.26      85.03   
   5204.61      11.06       3.52      12.73     629.89      85.03   
   5255.32      11.07       3.53      12.75     626.87      85.03   
   5306.04      11.09       3.54      12.78     624.08      85.03   
   5356.75      11.10       3.56      12.80     621.50      85.03   
   5407.46      11.12       3.57      12.82     619.71      85.03   
