Model: iasp91
Distance   Depth   Phase   Travel    Ray Param  Takeoff  Incident  Purist    Purist
  (deg)     (km)   Name    Time (s)  p (s/deg)   (deg)    (deg)   Distance   Name 
-----------------------------------------------------------------------------------
    3.54    15.0   P         54.42    13.749     45.96    45.82     3.54   = P
    3.54    15.0   Pn        54.42    13.754     45.98    45.84     3.54   = Pn
    3.54    15.0   P         62.33    17.047     63.03    62.77     3.54   = P
    3.54    15.0   P         62.48    16.967     62.51    62.25     3.54   = P
    3.54    15.0   p         67.84    19.126     90.42    86.04     3.54   = p
    3.54    15.0   P         67.89    19.093     86.60    84.81     3.54   = P
    3.54    15.0   S         96.88    24.722     48.49    48.33     3.54   = S
    3.54    15.0   Sn        96.90    24.739     48.53    48.38     3.54   = Sn
    3.54    15.0   S        107.98    29.548     63.50    63.24     3.54   = S
    3.54    15.0   S        108.23    29.409     62.97    62.71     3.54   = S
    3.54    15.0   s        117.11    33.015     90.43    86.04     3.54   = s
    3.54    15.0   S        117.20    32.958     86.60    84.80     3.54   = S
    3.54    15.0   PcP      509.28     0.340      1.02     1.02     3.54   = PcP
    3.54    15.0   ScS      932.21     0.627      1.09     1.09     3.54   = ScS
    3.54    15.0   PKiKP    992.12     0.079      0.24     0.24     3.54   = PKiKP
    3.54    15.0   SKiKS   1414.56     0.089      0.15     0.15     3.54   = SKiKS
